"x"	"y"
"1"	55.3846	97.1795
"2"	51.5385	96.0256
"3"	46.1538	94.4872
"4"	42.8205	91.4103
"5"	40.7692	88.3333
"6"	38.7179	84.8718
"7"	35.641	79.8718
"8"	33.0769	77.5641
"9"	28.9744	74.4872
"10"	26.1538	71.4103
"11"	23.0769	66.4103
"12"	22.3077	61.7949
"13"	22.3077	57.1795
"14"	23.3333	52.9487
"15"	25.8974	51.0256
"16"	29.4872	51.0256
"17"	32.8205	51.0256
"18"	35.3846	51.4103
"19"	40.2564	51.4103
"20"	44.1026	52.9487
"21"	46.6667	54.1026
"22"	50	55.2564
"23"	53.0769	55.641
"24"	56.6667	56.0256
"25"	59.2308	57.9487
"26"	61.2821	62.1795
"27"	61.5385	66.4103
"28"	61.7949	69.1026
"29"	57.4359	55.2564
"30"	54.8718	49.8718
"31"	52.5641	46.0256
"32"	48.2051	38.3333
"33"	49.4872	42.1795
"34"	51.0256	44.1026
"35"	45.3846	36.4103
"36"	42.8205	32.5641
"37"	38.7179	31.4103
"38"	35.1282	30.2564
"39"	32.5641	32.1795
"40"	30	36.7949
"41"	33.5897	41.4103
"42"	36.6667	45.641
"43"	38.2051	49.1026
"44"	29.7436	36.0256
"45"	29.7436	32.1795
"46"	30	29.1026
"47"	32.0513	26.7949
"48"	35.8974	25.2564
"49"	41.0256	25.2564
"50"	44.1026	25.641
"51"	47.1795	28.718
"52"	49.4872	31.4103
"53"	51.5385	34.8718
"54"	53.5897	37.5641
"55"	55.1282	40.641
"56"	56.6667	42.1795
"57"	59.2308	44.4872
"58"	62.3077	46.0256
"59"	64.8718	46.7949
"60"	67.9487	47.9487
"61"	70.5128	53.718
"62"	71.5385	60.641
"63"	71.5385	64.4872
"64"	69.4872	69.4872
"65"	46.9231	79.8718
"66"	48.2051	84.1026
"67"	50	85.2564
"68"	53.0769	85.2564
"69"	55.3846	86.0256
"70"	56.6667	86.0256
"71"	56.1538	82.9487
"72"	53.8462	80.641
"73"	51.2821	78.718
"74"	50	78.718
"75"	47.9487	77.5641
"76"	29.7436	59.8718
"77"	29.7436	62.1795
"78"	31.2821	62.5641
"79"	57.9487	99.4872
"80"	61.7949	99.1026
"81"	64.8718	97.5641
"82"	68.4615	94.1026
"83"	70.7692	91.0256
"84"	72.0513	86.4103
"85"	73.8462	83.3333
"86"	75.1282	79.1026
"87"	76.6667	75.2564
"88"	77.6923	71.4103
"89"	79.7436	66.7949
"90"	81.7949	60.2564
"91"	83.3333	55.2564
"92"	85.1282	51.4103
"93"	86.4103	47.5641
"94"	87.9487	46.0256
"95"	89.4872	42.5641
"96"	93.3333	39.8718
"97"	95.3846	36.7949
"98"	98.2051	33.718
"99"	56.6667	40.641
"100"	59.2308	38.3333
"101"	60.7692	33.718
"102"	63.0769	29.1026
"103"	64.1026	25.2564
"104"	64.359	24.1026
"105"	74.359	22.9487
"106"	71.2821	22.9487
"107"	67.9487	22.1795
"108"	65.8974	20.2564
"109"	63.0769	19.1026
"110"	61.2821	19.1026
"111"	58.7179	18.3333
"112"	55.1282	18.3333
"113"	52.3077	18.3333
"114"	49.7436	17.5641
"115"	47.4359	16.0256
"116"	44.8718	13.718
"117"	48.7179	14.8718
"118"	51.2821	14.8718
"119"	54.1026	14.8718
"120"	56.1538	14.1026
"121"	52.0513	12.5641
"122"	48.7179	11.0256
"123"	47.1795	9.8718
"124"	46.1538	6.0256
"125"	50.5128	9.4872
"126"	53.8462	10.2564
"127"	57.4359	10.2564
"128"	60	10.641
"129"	64.1026	10.641
"130"	66.9231	10.641
"131"	71.2821	10.641
"132"	74.359	10.641
"133"	78.2051	10.641
"134"	67.9487	8.718
"135"	68.4615	5.2564
"136"	68.2051	2.9487
"137"	37.6923	25.7692
"138"	39.4872	25.3846
"139"	91.2821	41.5385
"140"	50	95.7692
"141"	47.9487	95
"142"	44.1026	92.6923
